Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,Plot,Scaled IMDb Rating
Code of Honor,English,4.1,1 h 46 min,2016.0,18+,"An FBI agent pursues his former mentor, a vengeful colonel who's waging a one-man war against criminals.",0.33333333333333337
Long Shot,English,6.8,2 h 5 min,2019.0,18+,"When Fred Flarsky (Seth Rogen) reunites with his first crush, one of the most influential women in the world, Charlotte Field (Charlize Theron), he charms her with his self-deprecating humor and his memories of her youthful idealism.",0.6666666666666667
Iblis,Malayalam,6.5,1 h 58 min,2018.0,All,"The film is set in the 1980s and contains themes of fantasy and magical realism and also the film tells about life, death and life after death.",0.6296296296296297
Niskarsha,Kannada,7.6,2 h 19 min,1993.0,NR,"Niskarsha is a 1993 Indian Kannada film, Directed by Sunil Kumar Desai and Produced by Doddagowda C Patil, G M Jayadevappa. The film stars Vishnuvardhan, Ananthnag, B C Patil, Anjana in lead roles. The film had musical score by Guna Singh.",0.7654320987654322
Chashme Bahaddar,Marathi,6.5,2 h 25 mins,2006.0,All,"Rajaram (Sanjay Narvekar) leads a simple life with his family in a haunted chawl. When Parveen Dholakia, a builder, learns about the chawl, he decides to have the place vacated and redevelop it for his benefit.",0.6296296296296297
Raja Rani,Tamil,7.6,2 h 48 min,1976.0,NR,"Raja Rani is a 1976 Indian Tamil film, directed by A. Bhimsingh and produced by Kannadasan. The film stars Sivaji Ganesan, Padimini, S.S.Rajendran in lead roles. The film had musical score by T. R. Papa.",0.7654320987654322
Transformers: Age of Extinction,English,5.6,2 h 44 min,2014.0,13+,"From director Michael Bay comes the best 'Transformers' ever! With humanity facing extinction from a terrifying new threat, it's up to the Autobots to save Earth. They'll need new allies, including inventor Cade (Mark Wahlberg) and the Dinobots!",0.5185185185185185
Paradh,Marathi,6.7,2 h 8 mins,2010.0,13+,"Ambadas is a greedy and powerful politician who uses Yashwant, a poor villager as his scapegoat. Trapped in the world of betrayal and deceit, Yashwant flees from the village with his family. Will he be able to survive?",0.6543209876543211
Tumhaare Bina,Hindi,5.6,2 h 19 min,1982.0,All,Robin Dutt is a film-maker. He meets many attractive women. His wife Seema suspects he is having an affair and they decide to separate when she notices lipstick marks on his shirt. He is devastated.,0.5185185185185185
Tujha Tu Majha Mi,Marathi,4.8,2 h 4 mins,2017.0,13+,"Jay, a travel enthusiast who loves exploring new places sneaks out of his home and en route his journey to Goa, he meets Rajashree, a middle-class girl who dreams big. Their journey, which is replete with quarrel, hate, care and love has many dead ends and they are left to take tough decisions",0.41975308641975306
Dil Tera Aashiq,Hindi,5.1,2 h 22 min,1993.0,All,Vijay falls in love with Soniya in the dancing school where both are dance instructors. Thakur who is a confirmed bachelor is also drawn towards Savitri Devi; who is being impersonated by Soniya.,0.45679012345679015
Warrior Savitri,Hindi,5.5,2 h 1 min,2016.0,18+,"Savitri marries Satya despite the warnings of a priest who advised against it. When circumstances risk her husband's life, she brings out the fighter in her and does everything possible to save him.",0.5061728395061729
Shrimant Damodar Pant,Marathi,6.9,1 h 41 mins,2006.0,All,"Super Hit Comedy Marathi Play Shrimant Damodar Pant Title Played by Bharat Jadhav, Damu, an obedient man, lives happily with his family. However, everyday in the evening, his late grandfather's spirit enters his body and creates problems for everyone.",0.6790123456790125
Summer 2007,Hindi,6.2,2 h 46 min,2008.0,13+,"A group of medical students lead a carefree life. However, when they head to a village that witnesses many farmer suicide cases, they encounter local thugs and strive to survive.",0.5925925925925927
Ghost Rider: Spirit Of Vengeance,Hindi,4.3,1 h 35 min,2012.0,18+,"Nicolas Cage returns as motorcyclist Johnny Blaze in this dark sequel. Still struggling with his curse as the devil's bounty hunter, Johnny's recruited by a secret sect of the church to save a young boy from the devil (Ciaran Hinds). At first reluctant to embrace the power of the Ghost Rider, Blaze realizes it may be the only way to protect the boy—and perhaps rid himself of his curse forever.",0.3580246913580247
Mala Kahich Problem Nahi,Marathi,7.2,2 h 12 mins,2017.0,13+,"In today's world, which is full of stress, family time has become a thing of the past. Highlighting the modern issue of attention, loneliness, and disconnect that plagues modern nuclear families, 'Mala Kahich Problem Nahi' looks highly relatable and engaging. Like thousands of others, Ajay and Ketaki are portraying an urban couple with a complex relationship.",0.7160493827160495
Assassin's Creed,English,5.7,1 h 55 min,2016.0,13+,"Through a revolutionary technology that unlocks his genetic memories, Callum Lynch (Michael Fassbender) experiences the adventures of his ancestor, Aguilar, in 15th Century Spain. Callum discovers he is descended from a mysterious secret society, the Assassins, and amasses incredible knowledge and skills to take on the oppressive and powerful Templar organization in the present day. ASSASSIN'S ...",0.5308641975308642
Norm Of The North,Hindi,3.4,1 h 26 min,2016.0,7+,"When a real estate development invades his Arctic home, Norm and his three lemming friends head to New York City, where Norm becomes the mascot of the corporation in an attempt to bring it down from the inside and protect his homeland.",0.24691358024691362
Main Teri Tu Mera,Punjabi,6.2,2 h 13 mins,2016.0,13+,"Amru, a rural boy, dreams about getting married to an imaginary city girl but gets surprised to discover her in real life and learn that they are married. A simple country man daydreams of marrying a beautiful city woman and is surprised to discover that she is real.",0.5925925925925927
The Bourne Ultimatum,English,8.0,1 h 55 min,2007.0,13+,"Matt Damon returns as highly trained assassin, Jason Bourne, who is on the hunt for the agents who stole his memory and true identity. With a new generation of skilled CIA operatives tracking his every move, Bourne is in a non-stop race around the globe as he finally learns the truth behind his mysterious past. Loaded with incredible fight and chase sequences, it's the exhilarating movie with ...",0.8148148148148149
Ezhai Jaathi,Tamil,5.3,2h,1993.0,NR,"Bose hails from a rich family but is always ready to help the poor. He takes on a powerful minister and his son, who have committed many crimes. Things worsen when his own family opposes his actions.",0.4814814814814815
Top Cat,Hindi,4.6,1 h 26 min,2012.0,13+,"Top Cat Is An Award Winning Hollywood Kids Action Comedy Movie, Directed By Alberto Mar. It Garnered Two Awards From Four Nominations. Top Cat Is Smitten By A Cat Named Trixie But She Isn't Interested In Him. To Woo Her, He Tries To Get Some Rubies From The Maharajah Of Peekajoo, But The New Police Chief, Strickland, Is On His Tail.",0.3950617283950617
White House down,Tamil,6.4,2 h 11 min,2013.0,16+,"Capitol Policeman John Cale (Channing Tatum) has just been denied his dream job with the Secret Service of protecting President James Sawyer (Jamie Foxx). Not wanting to let down his little girl with the news, he takes her on a tour of the White House, during which the complex is overtaken by a heavily armed paramilitary group. Now, with the nation's up to Cale to save the president, his daught...",0.617283950617284
The Cave,English,5.1,1 h 37 min,2005.0,16+,Bloodthirsty creatures await a pack of divers who become trapped in an underwater cave network.,0.45679012345679015
Penguin (Malayalam),Malayalam,4.6,2 h 12 min,2020.0,18+,"Rhythm, leading a happy life and about to have her second child, is traumatized by the nightmares in which she sees an umbrella man harming her lost son. She sets off on a dangerous journey, along with her trained dog, to unravel the secrets behind the nightmares and to protect her loved ones.",0.3950617283950617
"Time to Kill, A",English,7.5,2 h 29 min,1996.0,18+,"Two low-life rednecks brag about their brutal rape of a ten-year-old black girl, believing that they are above the law – then the little girl's father takes the law into his own hands.",0.7530864197530864
Vaisali,Malayalam,6.4,2 h 13 min,1988.0,NR,"Vaisali, a royal mistress, goes to the forest to seduce Rishyashrungan, a powerful saint, to bring him to her kingdom and perform a pooja that will bring rain. Will she succeed in her task?",0.617283950617284
Sye Raa Narasimha Reddy (Kannada),Kannada,7.4,2 h 49 min,2019.0,13+,"This film is about the first revolt of any kind (1847) against the British Raj in India anchored by Uyyalawada Narasimha Reddy aka Lion of Renadu (A region in Rayalaseema- Andhra Pradesh), nickname with which he was fondly called by his followers.",0.7407407407407408
Dushmani : A Violent Love Story,Hindi,5.0,2 h 37 min,1996.0,13+,"Dushmani: A Violent Love Story Is A Romantic Action Movie, Directed By Bunty Soorma, Starring Sunny Deol, Jackie Shroff, Manisha Koirala And Deepti Naval In The Lead Roles. The Romance Between Suraj And Sapna, Who Belong To Rival Families, Leads To Bloodshed. Although Suraj's Brother Tries To Make Peace With Oberoi, Sapna's Brother, His Efforts Are Met With Bullets.",0.44444444444444453
Rajkahini,Bengali,7.3,2 h 39 min,2017.0,13+,A film about the struggles of women in a brothel near the Indo-Pak border during the Partition of Bengal.,0.7283950617283951
Ghar Bazar,Hindi,4.8,2 h 9 min,1995.0,NR,"Gul delivered baby before her marriage and entrusted to her driver Kishan. Gul met Amara film directed with Balam. As she wanted to become a heroine. Amar and Gul married. Balam did not like this idea. Gul left Amar and lived with Balam, who set her to sleep with the film financiers. Roopa & Ravi Pandit loved each other Roopa cleared Ravi that she was a Call Girl. Madhu Mohan loved each othe ...",0.41975308641975306
The Quiet,English,6.2,1 h 36 min,2005.0,18+,"Following the unexpected death of her father, a deaf and mute teenager moves in with her godparents, where she discovers the cruel behavior of their daughter may be indicative of a dark secret within the family.",0.5925925925925927
Ottam,Malayalam,7.3,1 h 59 min,2019.0,All,"Set in Trivandrum, the story of Ottam unfolds in a day, and progresses through the lives of two youngsters - Abhi and Vinay. What does destiny have in store for these young men?",0.7283950617283951
Grease Live!,English,7.3,2 h 10 min,2016.0,16+,"Join the rollicking gang at Rydell High with GREASE: LIVE, a one-night musical television adaptation of the popular crossover musical “Grease” – performed LIVE before a studio audience! Featuring a talented young ensemble cast, GREASE: LIVE will reintroduce and reimagine the unforgettable moments, great music, and timeless love story to an entirely new generation.",0.7283950617283951
Kaul - A Calling,Marathi,7.7,1 h 54 mins,2016.0,All,"A teacher living in rural Konkan has a supernatural experience he is unable to forget. Apprehensive about accepting it yet wanting to know more about it, he decides to meet an old mysterious man who is the only witness to the event. This realistic fantasy film gives an eerie experience to the viewers as they traverse through the story along with the teacher trying to make sense of the world.",0.7777777777777779
Universal Soldier: Day of Reckoning,Tamil,5.0,1 h 45 min,2012.0,18+,"John awakens from a coma to discover his wife and daughter were slaughtered in a brutal home invasion. Haunted by images of the attack, he vows to kill the man responsible: The fight pits John against Andrew Scott and an army of genetically enhanced warriors; meanwhile, he must contend with a UniSol in relentless pursuit.",0.44444444444444453
Mitwaa,Marathi,6.4,2 h 8 mins,2015.0,13+,"Shivam, a rich hotelier from Goa, doesn't believe in love or the institution of marriage. But when Nandini, a smart woman, joins his hotel as an employee, he is attracted to her.",0.617283950617284
Kahini,Bengali,4.4,1 h 39 min,1995.0,All,"One day Rajat decides to kidnap a child. But before he can work out a proper plan, a mysterious stranger gives him old documents, court transcripts and a partly burned photo from his childhood. This disturbing picture is just what confirms Rajat's determination to carry out his plan.",0.37037037037037046
Fakira,Hindi,6.6,2 h 19 min,1976.0,All,"Fakira Is An Award Winning Hindi Action Movie, Directed By C. P. Dixit, Starring Shashi Kapoor And Shabana Azmi In The Lead Roles. It Garnered Two Awards From Four Nominations. Vijay Helps The Poor And Robs The Rich, While Ajay Is Assigned The Job To Bring Vijay To Justice. Thirsty For Each Other's Blood, Both Men Are Unaware That They Are Brothers Separated At A Young Age.",0.6419753086419753
Shuttlecock Boys,Hindi,6.2,1 h 15 min,2011.0,NR,"Shuttlecock Boys revolves around the lives, successes and failures of four friends who hail from lower-middle-class backgrounds in Delhi. Should we accept what life offers to us on a platter or should we try to chase our dreams, taking the path less taken? That's the question our protagonists Gaurav, Manav, Pankaj and Loveleen seek answer to, as they decide to embark upon an eventful journey ...",0.5925925925925927
Love You Zindagi,Marathi,5.8,2 h 9 mins,2019.0,13+,"Anirudh hates the fact that he is growing old and wants to have fun and enjoy his life to the fullest. He sets out on a quest to explore what he missed in his youth. His life changes, when he meets Riya - a Zumba dance trainer, and her energetic gang. He befriends them and has the time of his life hanging out with this group to experience the thrill in life.",0.54320987654321
Badmaash Company,Hindi,6.0,2 h 21 min,2010.0,13+,"BADMAASH COMPANY is a story set in the 1990s, of four ordinary middle class Bombay youngsters - Karan (Shahid Kapoor), Bulbul (Anushka Sharma), Zing (Meiyang) and Chandu (Vir Das) - who came together to start an import business. With their larger than life schemes, the four go on a wild roller-coaster ride into the world of sheer glitz and glamour where the stakes are high and risks even higher!",0.5679012345679013
Sharkbait,English,4.2,1 h 14 min,2007.0,All,One fish must find his destiny to save his home and the love of his life from a bullying shark.,0.3456790123456791
Mehndi,Hindi,3.4,2 h 32 min,1998.0,13+,"Newly-wed Pooja is left shocked when her in-laws and her husband start ill-treating her. Unable to bear the mistreatment, she decides to teach them a lesson.",0.24691358024691362
Anupama,Bengali,7.4,2 h 2 min,2019.0,13+,"A Bengali classic film, narrating the story of siblings Abani and Kalyani struggling in the middle of poverty.",0.7407407407407408
Speedunnodu,Telugu,4.5,2 h 27 min,2016.0,13+,"Speedunnodu is about Sobhan (Bellamkonda Srinivas) a rich village guy who does everything for his friends. He tries to help his friend Giri (Madhunandan) in conveying his love to Vasanti (Sonarika Bhadoria), the one he loved in school days. But Vasanthi falls for Sobhan and the love story takes enough twists and turns to serve humour and thrill.",0.3827160493827161
Savitri,Hindi,5.7,1 h 45 min,2019.0,All,"Savitri (Nanditha) is crazy about getting married right from her childhood days. In fact, she was born during their family relative's marriage. With this being her soul aim, she convinces her family to find a good groom for her. Her family decides to get Savitri married to Rishi (Nara Rohit), although both of them are not aware of this decision. While on her way to Shiridi, Savitri meets Rishi.",0.5308641975308642
Humble Politiciann Nograj,Kannada,7.0,2 h 24 min,2018.0,7+,"Nograj is an extremely dishonest Corporator of a fictitious constituency, whose MLA Jagatprabhu F Kumar treats corporators as his servants. The film is about Nograj's aspirations to become an MLA in the upcoming elections and the opposition he faces. He has to find a way to overthrow MLA JFK and face Arun Patil, a charismatic businessman who goes by the book.",0.6913580246913581
Churiwala,Bengali,6.6,2 h 37 min,2017.0,13+,"A Bengali movie starring Ferdous Ahmed, depicting the love story that captures the struggle against society and family.",0.6419753086419753
Clerk,Bengali,2.4,1 h 20 min,2017.0,13+,"A Bengali film about the complexies of human mind, telling the story of a shy man who changes his personality at night.",0.12345679012345678
Dum,Hindi,5.6,2 h 14 min,2003.0,All,"When a diligent aspiring policeman named Uday realises that his superior is a corrupt man, he takes it upon himself to fight corruption, so even if it means putting at risk his life and his dream of become an officer.",0.5185185185185185
Bhagat Dhanna Jatt,Punjabi,8.1,2 h 15 mins,1973.0,All,"Laali's family is forced to survive on a barren land after she refuses to marry Kalidas. When the land remains sterile despite several efforts, her brother, Dhanna, seeks help from Thakara.",0.8271604938271605
Traveler,English,8.2,1 h 21 min,2019.0,13+,"A photograph from the US has spent two decades of his life travelling across the country to pursue his passion. His subjects are unconventional - homeless people, drifters, runaways etc. However, he shares a strange commonality with them - the urge to be always on the move. Watch this movie to find out whether the nomads too feel the need to be rooted at home.",0.8395061728395062
Amanush,Bengali,7.0,2 h 38 min,2017.0,13+,"Vinod finds his soulmate in Ria who is in love with Aditya. Unable to take the rejection, Vinod turns into a psychopath.",0.6913580246913581
Saak,Punjabi,6.6,2 h,2019.0,All,"Karam Singh is a soldier who returns to his village and falls in love with a local girl. Chann Kaur also feels the same way but when they go to ask her father for permission, he is against his daughter marrying a soldier.",0.6419753086419753
Dasami,Telugu,6.3,1 h 53 min,2012.0,13+,"Dasami is a 2012 Indian Telugu film, directed by Enuganti Chinna and produced by Mahipal. The film stars Shivaji, Ajay, Deepthi and Posani Krishnamurali in lead roles. The music of the film was composed by BR Vamsi.",0.6049382716049383
Luck By Chance,Hindi,7.1,2 h 35 min,2009.0,All,"The movie depicts how Bollywood is not just about the glitz and glamour but also about the struggles people go through to make it big. This could not be more true for couple Vikram (Farhan Akhtar) and Sona (Konkona Sen Sharma) who are trying to shine in a dog eat dog industry. Vikram seems to be willing to go to any extent, but there is a price to pay.",0.7037037037037037
Joker,English,8.4,2 h 1 min,2019.0,18+,"Todd Phillips helms a gritty origin story starring Joaquin Phoenix and Robert De Niro that centers around the iconic arch nemesis in an original, standalone story not seen before on screen.  Phillips' exploration of Arthur Fleck, a man disregarded by society, is not only a harsh character study, but also a broader cautionary tale.",0.8641975308641977
Uphaar,Hindi,7.1,2 h 2 min,1971.0,13+,"Anoop marries Minoo, a childish girl who doesn't understand her relationship with Anoop. While returning back to Calcutta, he is compelled to leave her with her mother.",0.7037037037037037
Imtihaan,Hindi,5.3,2 h 31 min,1994.0,All,"Imtihaan Is A Bollywood Action Romantic Musical Hindi Film, Directed By Harry Baweja And Produced By Raju Mavani, Starring Saif Ali Khan, Raveena Tandon And Sunny Deol In The Lead Roles. Vicky, A Popular Singer, Meets And Falls In Love With Priti, Who Does Not Reciprocate His Feelings But Agrees To Marry Him. Soon, He Realises That She Is Hiding Something About Her Past.",0.4814814814814815
Troop Zero,Hindi,6.9,1 h 37 min,2020.0,7+,"In rural 1977 Georgia, a misfit girl dreams of life in outer space.  When a national competition offers her a chance at her dream, to be recorded on NASA’s Golden Record, she recruits a makeshift troop of Birdie Scouts, forging friendships that last a lifetime and beyond.",0.6790123456790125
Rajamanikyam,Malayalam,7.7,2 h 5 min,2005.0,NR,"Rajamanikyam is a 2005 Indian Malayalam film, directed by Anwar Rasheed and produced by Valiya Veettil Siraj. The film stars Mammootty, Rahman, Manoj K. Jayan and and Saikumar in lead roles. The film had musical score by Alex Paul.",0.7777777777777779
Firaaq,Hindi,7.4,1 h 38 min,2008.0,13+,"Firaaq is a political thriller depicting the 2002 violence in Gujarat, India, and looks at the repercussion in terms of the effects on the lives of people.",0.7407407407407408
Shortcut: Disto Pan Nasto,Marathi,6.3,1 h 56 mins,2015.0,13+,"It is a romantic thriller based on the life of the protagonist, Rohit (Vaibbhav Tatwawdi) an ace computer hacker who mysteriously gets into a legal hassle for a huge hacking case. The case is helmed by cop Rajesh Shringarpure, a no-nonsense police officer. Meanwhile, his love is tested with Ishika (Sanskruti Balgude).",0.6049382716049383
The Aeronauts,English,6.6,1 h 40 min,2019.0,13+,"In 1862, daredevil balloon pilot Amelia Wren (Felicity Jones) teams up with pioneering meteorologist James Glaisher (Eddie Redmayne) to advance human knowledge of the weather and fly higher than anyone in history.",0.6419753086419753
Ayalathe Adheham,Malayalam,6.8,2 h 21 min,1992.0,NR,"Ayalathe Adheham is a 1992 Indian Malayalam film, directed by Rajasenan and Produced by Mohan Kumar. The film stars Jayaram, Gautami, Siddique, Vaishnavi, Meena and Thilakan in lead roles. The music of the film was composed by Perumbavoor G.",0.6666666666666667
Finally Bhalobasha,Bengali,6.7,1 h 55 min,2019.0,13+,"One movie, three stories... Finally Bhalobasha beautifully captures and reflects the many dimensions of love and life.",0.6543209876543211
Bhanu Pelo Lottery,Bengali,7.1,1 h 43 min,2017.0,13+,A Bhanu Bandyopadhyay film about a village singer and earthen toy-seller whose life changes after winning a lottery.,0.7037037037037037
Indrajit,Bengali,7.5,2 h 23 min,1992.0,NR,"Biswajit is a renowned barrister. He has two younger brothers, named Indrajit and Abhisek. He along with his two younger brothers creates a very happy family. Indrajit joins the police force by the recommendation of MLA Suprakash Sanyal. Indrajit is a honest, sincere and brave police officer, on the other hand Abhisek slowly enters into a wrong path. Indrajit does not concentrate properly in ...",0.7530864197530864
Lights Out,Hindi,6.3,1 h 20 min,2016.0,18+,A woman is haunted by a creature that only appears when the lights go out.,0.6049382716049383
Parichayam,Telugu,7.9,2 h 4 min,2018.0,NR,"Anand and Lakshmi are childhood friends but as they grow older, their friendship takes the next step as they fall in love! While Anand and Lakshmi could not have asked for anything more, Lakshmi's father's disapproval, however, turns out to be an obstacle for them! Can they manage to convince him of their love?",0.8024691358024693
Krishnarao Supermarket,Telugu,5.7,2 h 26 min,2019.0,13+,"Strange serial murders keep happening in Hyderabad which bothers the police. Meanwhile, Arjun (Krishna), a kickboxer is in love with Sanjana (Elsa Ghosh) and manages to win her love. Arjun becomes the prime suspect in the serial killings when a special officer is appointed to nab the killer. Arjun notices a strange relation to all these killings has with Krishna Rao Supermarket.",0.5308641975308642
The Princess Bride,English,8.0,1 h 38 min,1987.0,7+,"The story is a classic tale of love and adventure as the beautiful Buttercup is kidnapped and held against her will in order to marry the odious Prince Humperdinck, and Westley (her childhood beau, now returned as the Dread Pirate Roberts) attempts to save her.",0.8148148148148149
Red Dragon,Hindi,7.2,2 h 4 min,2002.0,18+,Anthony Hopkins reprises his Oscar-winning role as Dr. Hannibal Lecter in this thrilling prequel that follows a retired FBI agent that is called back to hunt down an elusive killer.,0.7160493827160495
Jaan-E-Mann: Lets Fall in Love Again,Hindi,6.0,2 h 45 min,2006.0,All,"To avoid paying a hefty alimony, Suhaan (Salman Khan) thinks of getting his ex-wife Pia (Preity Zinta) remarried. For that, he convinces Pia's simpleton college friend Agastya Rao (Akshay Kumar) that he can still marry his college crush. He then helps Agastya to woo Pia, but ends up falling in love with her all over again.",0.5679012345679013
Karm,Hindi,6.7,2 h 22 min,1977.0,All,"Asha and Arvind are in love but are not allowed to marry by her astrologer father. They start living together and plan to start a family without getting married, but fate intervenes.",0.6543209876543211
Papa Kahte Hain,Hindi,4.8,2 h 25 min,1996.0,All,"Papa Kahte Hain Is An Award Winning Bollywood Romantic Comedy Hindi Movie, Directed And Produced By Mahesh Bhatt, Starring Anupam Kher, Jugal Hansraj, Dinesh Hingoo, Alok Nath And Tiku Talsania. It Has Won One Filmfare Award. Sweety Is Abandoned By Her Father During Her Childhood. She Sets Out To Look For Him. Soon, She Finds That He Is Married To Another Woman. Will He Accept Her ?",0.41975308641975306
Jind Jaan,Punjabi,2.9,2 h 3 mins,2019.0,13+,"Ranjha, along with his uncle, travels to Thailand on a special mission, where he meets with Juliet who belongs to a rich family. He falls for her and faces many obstacles to win her love.",0.18518518518518523
Namma Mane,Kannada,5.8,2 h 13 min,1970.0,NR,"""Namma Mane"" is a 1970 Indian Kannada film, directed by ""G Bangara Raju"" and Produced by ""Babu"".The film Stars ""Kalpana, Pandaribai, Leelavathi, B V Radha, Shailashree, Papamma, Ramadevi, Rama, Sujatha, Raji, Rajesh, K S Ashwath,Narasimharaju, Dinesh, Vijayakumar, Vijayaprasad, Shyam"", in lead roles. The film had musical score by ""Upendra Kumar"".",0.54320987654321
Bal Ganesh 3 (Gujarati),Gujarati,5.2,1 h 8 min,2015.0,All,"In the third instalment of this popular Indian animated film franchise, we see the elephant-headed Hindu lord Bal Ganesh being adored not just by humans but also by alien kids from a planet named Zeba.",0.4691358024691359
Janala,Bengali,6.8,1 h 45 min,2009.0,13+,Bimal decides to contribute financially to his old school despite not having much money himself. He uses his fiance Meera's savings for this purpose which ends up creating a rift between the two.,0.6666666666666667
JUST U & ME,Punjabi,8.1,2 h 9 mins,2013.0,All,"The film, Just U and Me, is a 2013 release which revolves around a girl and a boy who hate each other but their families want them to love each other and get married. The story takes a turn when they run separately leaving behind everything but fate brings them together again.",0.8271604938271605
Kolilakkam,Malayalam,6.9,2 h 21 min,1981.0,NR,"Kolilakkam is a 1981 Indian Malayalam film, directed by P. N. Sundaram and Produced C V Hariharan. The film stars Jayan, Sumalatha and Madhu in lead roles. Music of the film was composed by M. S. Viswanathan.",0.6790123456790125
300: Rise of an Empire,English,6.2,1 h 42 min,2014.0,18+,"This new chapter of the epic ""300"" saga takes the action to the sea, where Greek general Themistokles battles invading Persian forces led by Xerxes and the naval commander Artemisia.",0.5925925925925927
Halal Love Story,Malayalam,6.2,1 h 56 min,2020.0,13+,Two cinema enthusiasts from a religious organization decide to make a movie in accordance to the religious understanding of permissible and forbidden. They find an experienced crew from the mainstream but they have reservations on the cast of the lead couple. The couple has to be married to each other so that behaving closer to each can be religiously permissible.,0.5925925925925927
Transformers Prime Predacons Rising,Hindi,7.5,1 h 1 min,2019.0,7+,"Megatron is awakened by a resurrected Unicron with the intention of seeking vengeance on the Autobots and obliterating Cybetron. Its Unicron vs the world as this forces an unlikely alliance between the Autobots, Decepticons, Predaking and Predacons, who join forces in a never before seen epic battle to protect the Earth and Cybetron.",0.7530864197530864
The Banker (4K Restored),English,4.8,1 h 36 min,1989.0,18+,"High-priced prostitutes are being murdered and their corpses mutilated, with bizarre symbols left in blood at the scene. The detective on the case struggles to find the killer before his ex-wife becomes the next victim.",0.41975308641975306
Jackpot (Tamil),Tamil,5.2,2 h 13 min,2019.0,All,Two smart con-women and a bunch of quirky gangsters are pitted against each other while in pursuit of a mythical vessel fabled for its powers.,0.4691358024691359
Sathi Leelavathi,Telugu,8.2,2 h 18 min,1995.0,NR,"Sati Leelavathi is an Indian Telugu Movie directed by Deepak Tijori. The film stars Manoj Bajpai, Shilpa Shetty, Shamita Shetty, Parmeet Sethi, Milind Gunaji in lead roles.",0.8395061728395062
Shekaram Gari Abbai,Telugu,7.7,2 h 10 min,2017.0,All,"Hero Sadhik (Vinu Maddipati) lays down the family of heroine Apsara (Akshaya), including family. Loves Apsara at first glance. He befriends her and then tells her about his love. But Apsara is rejecting that he has no job and responsibility.",0.7777777777777779
Kaka Ji - Son of Royal Sardar,Punjabi,5.1,2 h 2 mins,2019.0,13+,"The story of Kaka Ji highlights the era of the 90s in Punjab when the notorious gang Kale Kachia Wale was dominant in the state. Kaka Ji is the son of royal Sardar Kartar Singh Brar falls in love with Deepi, a young girl from the adjacent village. Things take a turn when Kaka Ji gets trapped by the gang while trying to save the love of his life.",0.45679012345679015
Hanuman.com,Bengali,5.4,2 h 4 min,2019.0,13+,A Bengali film about the chilling result of virtual friendships of a simple teacher finding a new world on his computer.,0.49382716049382724
Napoleon (Malayalam),Malayalam,6.9,1 h 54 min,2017.0,13+,"The film starts with a man called Napoleon (Anand Ravi) who visits the police station and lodges a complaint that his shadow is missing. This case confuses the entire department and very soon Napoleon becomes the talk of the town. Upon investigation, Napoleon also reveals that God has come into his dream and revealed that a certain accident case is actually a murder mystery.",0.6790123456790125
Kudumba Thalaivan,Tamil,6.4,2 h 16 min,1962.0,All,"After the tragic death of his driver, Velayudam, a kind-hearted man offers shelter to his daughter, Sita. Issues erupt when Valayudam's son, Vasu falls in love with the girl.",0.617283950617284
Superbad,English,7.6,1 h 53 min,2007.0,18+,A couple of socially inept friends are facing separation anxiety as they prepare to go off to college. In one panic-driven night they make several misguided attempts to reverse a lifelong losing streak with the ladies. However the evening takes a turn into chaotic territory.,0.7654320987654322
Jatra,Marathi,6.7,2 h 17 mins,2005.0,All,"In a religious fair, two individuals from the villages Hyalagaad and Tyalagaad, run a race and even kill for winning the hosting rights of the fair.",0.6543209876543211
Chhota Bheem - Neeli Pahadi,Hindi,6.8,1 h 3 min,2020.0,All,"Chhota Bheema and his friends plan a trip to Neeli Pahadi on the outskirts of Dholakpur. But when they arrive, mysterious activities start to trouble them. Soon they find out that the mysterious activities are related to the very establishment of Dholakpur. Will Bheema and his friends be able to solve the mystery?",0.6666666666666667
Sundarakilladi,Malayalam,6.1,2 h 31 min,1998.0,All,"Without knowing the risk of his work, a man goes to a village to dig a well as they are facing water scarcity. However, his life takes a turn when he falls in love with a girl.",0.5802469135802469
Kirayi Dada,Telugu,6.8,2 h 4 min,1987.0,NR,"Kirayi Dada is a 1987 Indian Telugu film, directed by A. Kodandarami Reddy and Produced by V. Doraswamy Raju. The film stars Akkineni Nagarjuna, Amala Akkineni, Khusboo, Krishnam Raju and Jayasudha in lead roles. The music of the film was composed by Chakravarthy.",0.6666666666666667
Apaharan,Hindi,7.4,2 h 41 min,2005.0,13+,"Apaharan (English: Abduction) is a 2005 Indian Hindi crime action film directed by Prakash Jha and stars Ajay Devgn and Nana Patekar in the lead roles. It is the story of a complex relationship and clashing ideologies between a father and son set in the backdrop of the kidnapping industry in the eastern state of Bihar, India.",0.7407407407407408
Amdavad Junction,Hindi,4.4,1 h 31 min,2013.0,NR,"Two police officers, appointed to investigate a murder case, find it extremely difficult to crack a case since there were hardly any clues. Also, the body of the dead person is so badly decomposed that one can't really identify the individual. Another senior police officer is later assigned to aid the two officers already working on the case. Will the combined investigative skills of the thr ...",0.37037037037037046
Don,Hindi,7.8,2 h 39 min,1978.0,All,"Don, a ruthless gangster, dies in a police chase. DSP D'Silva is the only one who knows about his death. To get hold of the gang that works with Don and to entrap the rest of the criminals, he trains Don's doppelgänger, Vijay, who's a simple young man. Things take the turn for the worst when DSP D'Silva killed.",0.7901234567901235
