Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,Plot,Scaled IMDb Rating
Toonpur Ka Superrhero,Hindi,4.2,1 h 35 min,2010.0,NR,Toonpur ka Superhero is a comedy kids film directed by Kireet Khurana starring Ajay Devgan and Kajol in the lead roles. Aditya (Ajay Devgan) a film superstar and his wife Priya (Kajol) have achieved all the success that they had dreamt of. Their children would rather have a father who is a 'Real life' hero than a reel life hero. Aditya wants to redeem himself in the eyes of his children when ...,0.3456790123456791
Pinky Mogewali,Punjabi,3.7,2 h 14 mins,2012.0,13+,"After the loss of her mother, Pinky earns for her father's illusive love. She gets herself kidnapped by a gang of crooks, just to get his attention.",0.28395061728395066
Ong-Bak: Muay Thai Warrior,English,7.2,1 h 40 min,2005.0,16+,"When the head of a statue sacred to a village is stolen, a young martial artist goes to the big city and finds himself taking on the underworld to retrieve it",0.7160493827160495
Great Sardaar,Punjabi,5.2,1 h 48 mins,2017.0,13+,"Three men rise up to take revenge on the people responsible for murdering the Great Sardar, who was the people's saviour, and leaving their motherly aunt bereft of her husband.",0.4691358024691359
Open Water,English,5.7,1 h 19 min,2004.0,18+,"Dan and Susan are ecstatic to finally be on their much anticipated tropical holiday in the Caribbean. However, after a mistake by their boat staff the pair are left alone in the middle of the ocean, and their ordeal soon becomes a full blown nightmare when sharks start to appear. Inspired by a true story.",0.5308641975308642
Prema Kama,Kannada,5.9,1 h 38 min,1978.0,NR,"Prema Kama is an Indian Kannada film directed and produced by V R K Prasad. The film stars Devadas, Chayapathi, Rekha Rao, G V Iyer and Jyothsna Rao in the lead roles. Music of the film was composed by Yoganarasimha",0.5555555555555557
Jhankaar Beats,Hindi,7.2,2 h 11 min,2003.0,18+,"Juggling personal predicaments and workplace woes, three buddies and band-mates practice for their ultimate dream: winning a coveted music competition.",0.7160493827160495
Law Abiding Citizen,Tamil,7.4,1 h 44 min,2009.0,18+,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.,0.7407407407407408
48 Hrs.,English,6.9,1 h 36 min,1982.0,18+,"Nolte is a roughedged cop after two vicious cop-killers. He can’t do it without the help of smooth Murphy, who is serving time for a half-million dollar robbery.",0.6790123456790125
K.G.F: Chapter 1 (Malayalam),Malayalam,8.2,2 h 34 min,2018.0,13+,KGF Chapter 1 is a film based on the gold mines that represents absolute power. The film is based on power struggle to rule these fields which eventually becomes one man’s destiny and his final destination.,0.8395061728395062
